SCHULTZ,99932
FOWLER,99260
BREWER,98650
HUANG,98330
JUAREZ,97719
MOLINA,97649
PEARSON,97562
WU,97527
HOLLAND,97501
SCHNEIDER,97428
NAVARRO,97262
CURTIS,97208
NEWMAN,97169
DOUGLAS,97078
BARRETT,96872
AVILA,96191
CORTEZ,95625
CAMPOS,94276
KELLER,94168
MIRANDA,93203
WADE,93102
HOPKINS,92924
BECK,91948
CHAMBERS,91795
STANLEY,91375
DELEON,91364
BARNETT,91163
AYALA,91108
BATES,91057
CALDWELL,90100
LOWE,89696
LAMBERT,89460
FRAZIER,88963
SCHWARTZ,88948
DURAN,88415
BYRD,88388
POWERS,88252
NEAL,87995
CRAIG,87675
FLEMING,86848
SUTTON,86836
LEONARD,86736
RHODES,86574
CARRILLO,86513
COHEN,86401
JENNINGS,86271
CABRERA,85945
MORAN,85840
SHELTON,85839
GREGORY,85781
WATTS,85754
LEON,85611
STEELE,85371
NORRIS,84956
MCDANIEL,84533
ALI,84529
BECKER,84525
PARKS,84327
BARKER,83987
VAUGHN,83826
LOVE,83691
TERRY,83406
CHANG,83382
LARA,83110
HALE,83103
HAYNES,83022
FUENTES,82907
BENSON,82707
MILES,82573
HOLT,82517
MANN,82479
ZIMMERMAN,82459
LYONS,81507
CHAN,81431
ROBLES,81059
DAWSON,80960
HORTON,80807
WOLFE,80540
GRAVES,80533
SALINAS,80378
MCKINNEY,80343
SOLIS,80233
BUSH,80122
WARNER,80118
MCCARTHY,80108
PAUL,80097
FLETCHER,79835
KLEIN,79552
REEVES,79326
PAGE,79314
RIVAS,78862
ERICKSON,78808
SIMON,78701
CERVANTES,78517
VELASQUEZ,78234
FRANCIS,78198
DANIEL,78123
OCHOA,77931
HARDY,77922
THORNTON,77910
BALDWIN,77881
PACHECO,76943
SHAH,76855
AGUIRRE,76796
CALDERON,76428
OCONNOR,76316
DELACRUZ,76225
CUMMINGS,76172
SERRANO,76051
BALL,76008
CARDENAS,75996
HIGGINS,75781
BOWEN,75672
GILL,75535
GRIFFITH,75478
SHARP,75463
ROBBINS,75400
BLAIR,75384
QUINN,75251
BARBER,75161
KAUR,75046
CROSS,75035
ROSALES,74769
RAMSEY,74666
CHRISTENSEN,74664
MOSS,74470
AHMED,74458
DENNIS,74379
SWANSON,74015
CHANDLER,73879
RODGERS,73646
FITZGERALD,72557
CURRY,72444
ROMAN,72391
STEVENSON,72286
MCLAUGHLIN,71961
DOYLE,71863
MANNING,71809
GARNER,71498
BLAKE,71425
WALTON,71361
NEWTON,71351
MCGEE,71307
REESE,71141
GROSS,70852
BURGESS,70718
MONTOYA,70671
FRANCO,70637
HARMON,70550
FISCHER,70511
TRUJILLO,70403
ADKINS,70363
PERSON,70174
WEBSTER,70161
BRADY,70047
CLARKE,70011
WOLF,69917
MACK,69776
GOODMAN,69577
COLON,68998
POTTER,68997
GOODWIN,68963
SUAREZ,68838
CASTANEDA,68636
HINES,68581
ESCOBAR,68460
GUERRA,68407
TODD,68395
TATE,68390
CANNON,68041
HUBBARD,68031
MULLINS,67835
ROWE,67831
CAMACHO,67599
VALENCIA,67405
HODGES,67360
SAUNDERS,67352
GALLAGHER,67066
MALONE,66928
FARMER,66667
HAMPTON,66633
TOWNSEND,66493
SHERMAN,66346
HAMMOND,66318
YU,66156
INGRAM,66120
MAXWELL,65829
GALLEGOS,65598
WISE,65596
OROZCO,65402
VELAZQUEZ,65353
SCHROEDER,65286
HUYNH,65148
WATERS,65036
ANDRADE,64946
BARTON,64761
LOGAN,64755
YODER,64632
PARSONS,64627
SANTANA,64579
BUCHANAN,64348
GLOVER,64341
OSBORNE,64098
NORMAN,63944
HARRINGTON,63775
FRANK,63608
STRICKLAND,63585
PINEDA,63437
CASEY,63424
FLOYD,63374
IBARRA,63358
SALAS,63317
GIBBS,63006
PATTON,62929
BOWERS,62913
CHARLES,62686
BAUER,62667
TYLER,62380
COBB,62205
MUELLER,62147
LLOYD,62010
VILLANUEVA,61969
MERCADO,61773
MCGUIRE,61752
MCBRIDE,61751
MOODY,61480
FLYNN,61341
VILLARREAL,61336
FRENCH,61329
ZAMORA,61244
POPE,61177
HARTMAN,61086
MCCORMICK,61083
SPARKS,61073
CONNER,61028
HOGAN,61016
KRAMER,60950
LINDSEY,60657
MACIAS,60590
YATES,60581
LANG,59955
SHEPHERD,59896
MARSH,59877
BAUTISTA,59869
LAM,59770
NORTON,59666
BARRERA,59196
PRATT,59174
STOKES,59097
DRAKE,59055
OWEN,58962
ARIAS,58926
PETERSEN,58885
CAIN,58521
MELENDEZ,58520
BROCK,58368
TREVINO,58368
BURNETT,58194
MCKENZIE,58046
MORTON,58028
OLSEN,57626
LAMB,57573
HESS,57557
BALLARD,57424
PATRICK,57411
LOZANO,57179
SHAFFER,57111
MORA,57092
NASH,57028
HOOVER,57000
COCHRAN,56354
VANG,56261
ROTH,56238
FLOWERS,56061
